Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MIP
1,Jeff Adrien\adrieje01,PF,24,GSW,23,0,8.5,1,2.3,0.426,0,0,,1,2.3,0.426,0.426,0.5,0.8,0.579,1,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5,11.3,0.457,0,0.352,13,20.7,16.8,7.3,1,1.9,12.6,16.1,0.1,0.1,0.2,0.051,-3.9,-1.2,-5.1,-0.2,0
2,Arron Afflalo\afflaar01,SG,25,DEN,69,69,33.7,4.5,9.1,0.498,1.5,3.6,0.423,3,5.5,0.546,0.581,2,2.4,0.847,0.7,3,3.6,2.4,0.5,0.4,1,2.2,12.6,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1,9.2,14.8,4.8,1.4,6.2,0.128,2.4,-0.2,2.1,2.4,0
3,Maurice Ager\agerma01,SG,26,MIN,4,0,7.3,1.5,2.8,0.545,0.8,1,0.75,0.8,1.8,0.429,0.682,0,0,,0,0.5,0.5,0.3,0.3,0,1,1,3.8,10.1,0.682,0.364,0,0,7.9,3.8,6,1.7,0,26.7,22,0,0,0,-0.015,-2.7,-3.6,-6.3,0,0
5,Solomon Alabi\alabiso01,C,22,TOR,12,0,4.9,0.3,1.3,0.2,0,0,,0.3,1.3,0.2,0.2,0,0.2,0,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,0.5,2,0.189,0,0.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,-0.2,0,-0.2,-0.142,-8.2,0,-8.2,-0.1,0
6,Cole Aldrich\aldrico01,C,22,OKC,18,0,7.9,0.4,0.8,0.533,0,0,,0.4,0.8,0.533,0.533,0.1,0.2,0.5,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1,7,0.537,0,0.267,11.1,17.5,14.4,4,1.8,3.6,32.3,7.9,0,0.2,0.2,0.066,-3.4,2.6,-0.8,0,0
7,LaMarcus Aldridge\aldrila01,PF,25,POR,81,81,39.6,8.7,17.5,0.5,0,0.3,0.174,8.7,17.2,0.505,0.501,4.3,5.5,0.791,3.4,5.3,8.8,2.1,1,1.2,1.9,2.7,21.8,21.5,0.549,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,7.6,3.5,11.1,0.166,1.9,0.5,2.4,3.5,1
8,Malik Allen\allenma01,PF,32,ORL,18,0,9.9,0.6,1.7,0.355,0,0,,0.6,1.7,0.355,0.355,0.1,0.1,0.5,0.7,1.1,1.8,0.2,0.1,0.2,0.2,1.7,1.3,3.3,0.361,0,0.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,-0.1,0.2,0.2,0.046,-5.3,1.4,-3.9,-0.1,0
9,Ray Allen*\allenra02,SG,35,BOS,80,80,36.1,6,12.2,0.491,2.1,4.7,0.444,3.9,7.5,0.52,0.577,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1,0.2,1.5,1.8,16.5,16.4,0.615,0.387,0.224,2.3,9,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10,0.166,3.2,0.4,3.6,4.1,0
10,Tony Allen\allento01,SG,29,MEM,72,31,20.8,3.5,6.8,0.51,0.1,0.3,0.174,3.4,6.5,0.527,0.514,1.9,2.5,0.753,1,1.7,2.7,1.4,1.8,0.6,1.2,2.2,8.9,18.3,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,2,2.7,4.7,0.152,0.7,2.9,3.6,2.1,0
11,Al-Farouq Aminu\aminual01,SF,20,LAC,81,14,17.9,2,5,0.394,0.6,1.8,0.315,1.4,3.2,0.437,0.45,1.1,1.5,0.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,0.022,-3.1,0.1,-3,-0.4,0
12,Lou Amundson\amundlo01,PF,28,GSW,46,7,15,1.8,4,0.454,0,0,,1.8,4,0.454,0.454,0.7,1.9,0.391,1.8,2.3,4,0.4,0.3,0.7,0.5,1.9,4.3,11.5,0.452,0,0.475,13,17.4,15.2,3.5,1,3.6,9.8,15.7,0.2,0.5,0.6,0.044,-4,-0.9,-4.9,-0.5,0
13,Chris Andersen\anderch01,C,32,DEN,45,0,16.3,1.8,3,0.599,0,0,0,1.8,3,0.603,0.599,1.9,3,0.637,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,5.6,19,0.636,0.007,0.985,12.2,22.1,17.3,4,1.6,6,11.3,13.5,1.9,1.2,3.2,0.207,0.2,3.1,3.3,1,0
15,James Anderson\anderja01,SF,21,SAS,26,2,11,1.2,3.1,0.383,0.7,1.8,0.391,0.5,1.3,0.371,0.494,0.5,0.7,0.778,0.1,0.8,0.9,0.7,0.1,0.2,0.5,0.9,3.6,8.5,0.529,0.568,0.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,0.1,0.2,0.3,0.051,-1.9,-1.5,-3.4,-0.1,0
